epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76211,1.71499,4.01141,1.55168,0.00176,0.52941,0.093,0.02304,1.15934,4.0678,1.46598,0.00012,0.00012,0.00012
2,5.16622,1.59468,3.44271,1.32865,0.00314,0.94118,0.40133,0.21477,1.43627,3.58605,1.26683,0.000254852,0.000254852,0.000254852
3,8.65893,1.50624,2.49492,1.24013,0.00314,0.94118,0.50439,0.27231,1.39582,3.43609,1.26749,0.00038416,0.00038416,0.00038416
4,11.1102,1.43895,2.2922,1.23759,0.00314,0.94118,0.38458,0.23065,1.37137,3.5499,1.34254,0.000507924,0.000507924,0.000507924
5,13.171,1.4265,1.99729,1.22235,0.00314,0.94118,0.47418,0.26959,1.33872,3.55166,1.30242,0.000626144,0.000626144,0.000626144
6,15.1993,1.46454,1.85844,1.21526,0.00314,0.94118,0.48982,0.27988,1.30883,3.45744,1.2327,0.00073882,0.00073882,0.00073882
7,17.3891,1.50471,1.9772,1.15145,0.79482,0.2292,0.68176,0.40299,1.41663,3.39449,1.3483,0.000845952,0.000845952,0.000845952
8,19.5554,1.42384,1.81216,1.20711,1,0.20202,0.61207,0.38071,1.4262,3.40693,1.29742,0.00094754,0.00094754,0.00094754
9,22.2298,1.45571,1.94209,1.2883,0.87051,0.29412,0.64111,0.3467,1.34409,3.32335,1.43574,0.00104358,0.00104358,0.00104358
10,25.1042,1.43612,1.77454,1.21707,0.84366,0.31963,0.47827,0.28093,1.45547,3.45664,1.32883,0.00113408,0.00113408,0.00113408
11,27.426,1.46075,1.91003,1.27929,0.68212,0.23529,0.39177,0.17045,1.61719,3.43907,1.58429,0.00121904,0.00121904,0.00121904
12,29.5557,1.35926,1.59705,1.18693,0.52665,0.17647,0.27908,0.11253,1.4885,3.13484,1.57526,0.00129845,0.00129845,0.00129845
13,31.5327,1.41179,1.6924,1.22481,0.13941,0.38149,0.16718,0.06229,1.47445,3.23765,1.57142,0.00137232,0.00137232,0.00137232
14,33.5491,1.35715,1.68895,1.25593,0.25275,0.17647,0.08104,0.02451,1.60328,4.51475,1.81976,0.00144064,0.00144064,0.00144064
15,36.0046,1.35444,1.52723,1.19844,0.40925,0.11765,0.10033,0.05927,1.71456,4.9411,1.80417,0.0014456,0.0014456,0.0014456
16,38.9407,1.39324,1.54466,1.2389,0.2232,0.17647,0.12363,0.07005,1.5247,3.46644,1.60434,0.001406,0.001406,0.001406
17,41.1534,1.41831,1.58299,1.23838,0.22817,0.29412,0.16008,0.07375,1.59239,3.2134,1.71055,0.0013664,0.0013664,0.0013664
18,43.154,1.36253,1.4969,1.20947,0.36515,0.23529,0.25253,0.13605,1.75882,3.18502,1.7579,0.0013268,0.0013268,0.0013268
19,45.4369,1.23656,1.45179,1.1605,0.87356,0.23529,0.33805,0.19723,1.55228,2.47765,1.66464,0.0012872,0.0012872,0.0012872
20,47.5167,1.32738,1.34883,1.18493,0.344,0.41176,0.34003,0.21882,1.51867,2.63511,1.98763,0.0012476,0.0012476,0.0012476
