epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82065,2.05554,4.04577,1.6534,0.00216,0.64706,0.01102,0.00574,1.38575,4.15405,1.60957,0.00012,0.00012,0.00012
2,6.80629,1.74032,3.78475,1.52215,0.00314,0.94118,0.1516,0.06808,1.49587,3.98712,1.38538,0.000254852,0.000254852,0.000254852
3,9.26501,1.64089,2.73682,1.39115,0.00314,0.94118,0.39857,0.17706,1.46147,3.79272,1.3504,0.00038416,0.00038416,0.00038416
4,11.8367,1.61107,2.38748,1.32429,0.00294,0.88235,0.25432,0.10499,1.46787,3.90238,1.41044,0.000507924,0.000507924,0.000507924
5,13.9101,1.49673,2.3226,1.26111,0.00275,0.82353,0.22384,0.08577,1.64874,4.06129,1.66769,0.000626144,0.000626144,0.000626144
6,15.6941,1.5531,2.12353,1.32274,0.00314,0.94118,0.27951,0.14428,1.50426,3.6708,1.48965,0.00073882,0.00073882,0.00073882
7,17.4056,1.56554,2.12898,1.24509,0.00235,0.70588,0.10469,0.07349,1.58999,3.94419,1.50772,0.000845952,0.000845952,0.000845952
8,19.2071,1.48935,2.04714,1.36272,0.00275,0.82353,0.17173,0.09548,1.4596,4.02546,1.43567,0.00094754,0.00094754,0.00094754
9,20.9405,1.58288,2.1451,1.48023,0.00216,0.64706,0.09769,0.02981,1.62771,4.13802,1.57954,0.00104358,0.00104358,0.00104358
10,23.0616,1.53034,1.92883,1.32254,0.81844,0.23529,0.25802,0.12746,1.67939,3.75212,1.70194,0.00113408,0.00113408,0.00113408
11,25.9433,1.46815,1.98448,1.33016,0.75327,0.18032,0.27487,0.11452,1.59954,3.49194,1.62947,0.00121904,0.00121904,0.00121904
12,27.9988,1.46765,1.71996,1.29173,0.37262,0.17647,0.16227,0.07408,1.86031,3.50694,2.15636,0.00129845,0.00129845,0.00129845
13,29.7208,1.38568,1.76369,1.23317,1,0.10758,0.29021,0.11359,2.02584,3.30797,2.20657,0.00137232,0.00137232,0.00137232
14,31.5548,1.39387,1.81135,1.29191,0.42774,0.23529,0.2276,0.09093,1.80333,2.97,1.7108,0.00144064,0.00144064,0.00144064
15,33.2835,1.37706,1.7273,1.23973,0.10966,0.23529,0.07059,0.02958,2.06828,3.34607,2.31282,0.0014456,0.0014456,0.0014456
16,35.0757,1.52841,1.75493,1.30394,0.22061,0.29412,0.15973,0.06662,1.64839,4.14854,1.67362,0.001406,0.001406,0.001406
17,36.9289,1.51566,1.64384,1.29378,0.12094,0.11765,0.07971,0.03043,1.64186,8.71024,1.81078,0.0013664,0.0013664,0.0013664
18,39.6187,1.44537,1.65207,1.2422,0.08117,0.29412,0.05708,0.02372,1.83303,10.6698,2.15122,0.0013268,0.0013268,0.0013268
19,41.6707,1.36816,1.49437,1.1897,0.13412,0.23529,0.04302,0.01448,1.83019,8.89438,2.15786,0.0012872,0.0012872,0.0012872
20,43.7055,1.43668,1.54642,1.2503,0.04551,0.11765,0.06948,0.02347,1.88177,25.4341,1.92326,0.0012476,0.0012476,0.0012476
