epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66364,1.965,4.15342,1.6854,0.00196,0.58824,0.08261,0.02748,1.49818,4.39928,1.74966,0.00012,0.00012,0.00012
2,5.20321,1.68074,3.64345,1.46362,0.00294,0.88235,0.18954,0.07796,1.7213,4.03936,1.56824,0.000254852,0.000254852,0.000254852
3,8.51157,1.61863,2.7898,1.34137,0.00294,0.88235,0.27815,0.13547,1.36788,3.61345,1.16826,0.00038416,0.00038416,0.00038416
4,11.0093,1.59744,2.4475,1.31194,0.00314,0.94118,0.24913,0.12844,1.23053,3.71349,1.15335,0.000507924,0.000507924,0.000507924
5,12.9109,1.49042,2.23188,1.26453,0.00314,0.94118,0.19869,0.12586,1.45799,3.72559,1.26522,0.000626144,0.000626144,0.000626144
6,14.8838,1.54453,2.05274,1.32568,1,0.11346,0.34265,0.18007,1.36651,3.88158,1.35396,0.00073882,0.00073882,0.00073882
7,17.037,1.54383,2.23185,1.23806,0.75421,0.29412,0.34221,0.2041,1.55909,3.83561,1.48122,0.000845952,0.000845952,0.000845952
8,19.1263,1.48717,1.98389,1.2746,0.23119,0.05882,0.0732,0.01258,1.43439,3.97445,1.45277,0.00094754,0.00094754,0.00094754
9,21.9122,1.49775,2.04966,1.39009,0.37282,0.05882,0.06529,0.01331,1.58778,4.11562,1.62832,0.00104358,0.00104358,0.00104358
10,24.6116,1.43059,1.93687,1.27015,0.2525,0.11765,0.12503,0.06271,1.59632,3.79454,1.60843,0.00113408,0.00113408,0.00113408
11,26.7274,1.4693,1.97986,1.32277,0.43524,0.18197,0.30341,0.19477,1.73618,3.74833,1.75487,0.00121904,0.00121904,0.00121904
12,29.0636,1.48315,1.78711,1.28731,0.8845,0.41176,0.4836,0.28264,1.82805,3.46381,1.78433,0.00129845,0.00129845,0.00129845
13,31.0852,1.45556,1.75181,1.27763,0.72754,0.35294,0.47636,0.23099,1.90228,3.46248,1.64841,0.00137232,0.00137232,0.00137232
14,32.99,1.40637,1.76014,1.278,0.44867,0.17647,0.32938,0.14286,2.07419,3.3629,1.76058,0.00144064,0.00144064,0.00144064
15,35.6152,1.34679,1.67281,1.19628,0.63893,0.52941,0.4762,0.22778,1.72554,2.63171,1.64031,0.0014456,0.0014456,0.0014456
16,39.0554,1.49653,1.67469,1.24229,0.70909,0.52941,0.46471,0.23864,1.8189,2.30563,1.62215,0.001406,0.001406,0.001406
