epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84574,1.67122,3.97408,1.43679,0.00255,0.76471,0.11535,0.04825,1.13121,4.1379,1.38,0.00012,0.00012,0.00012
2,6.64154,1.5994,3.44747,1.30319,0.00294,0.88235,0.3404,0.21696,1.20078,3.67123,1.16444,0.000254852,0.000254852,0.000254852
3,8.6516,1.55499,2.54969,1.23046,0.00294,0.88235,0.47256,0.28799,1.11582,3.52408,1.13493,0.00038416,0.00038416,0.00038416
4,10.8496,1.50087,2.21536,1.27049,0.00294,0.88235,0.33621,0.20453,1.1341,3.71199,1.19944,0.000507924,0.000507924,0.000507924
5,12.8394,1.48067,1.99238,1.24783,0.00314,0.94118,0.21237,0.07198,1.15286,3.74663,1.31818,0.000626144,0.000626144,0.000626144
6,14.7642,1.411,1.78552,1.24199,0.00314,0.94118,0.27075,0.13062,1.21846,3.60093,1.31563,0.00073882,0.00073882,0.00073882
7,17.8261,1.42375,1.92371,1.16894,0.00314,0.94118,0.42111,0.2064,1.40393,3.71962,1.41343,0.000845952,0.000845952,0.000845952
8,20.474,1.36843,1.74757,1.18615,0.50769,0.12217,0.4559,0.29648,1.28958,3.33218,1.38921,0.00094754,0.00094754,0.00094754
9,22.4521,1.39908,1.77914,1.29485,0.98932,0.23529,0.52149,0.29681,1.44447,3.57401,1.50717,0.00104358,0.00104358,0.00104358
10,24.5515,1.38149,1.72452,1.2105,0.17053,0.29412,0.09175,0.05872,1.33067,3.68412,1.37901,0.00113408,0.00113408,0.00113408
11,26.5283,1.29126,1.72961,1.23058,0.2257,0.17647,0.12561,0.07279,1.41548,3.53668,1.38225,0.00121904,0.00121904,0.00121904
12,28.4993,1.32934,1.56462,1.19642,0.73851,0.49968,0.49375,0.33254,1.12811,2.89809,1.21495,0.00129845,0.00129845,0.00129845
13,31.1997,1.39553,1.53816,1.23373,0.68583,0.51456,0.42161,0.24144,1.21742,3.00956,1.23498,0.00137232,0.00137232,0.00137232
14,33.9069,1.32052,1.59851,1.20312,0.5448,0.35209,0.31358,0.12886,1.39995,2.886,1.40771,0.00144064,0.00144064,0.00144064
15,36.3804,1.34383,1.47033,1.18648,0.54857,0.41176,0.45577,0.26274,1.35805,2.56735,1.48916,0.0014456,0.0014456,0.0014456
16,38.5158,1.3818,1.42545,1.18869,0.86263,0.35294,0.51026,0.22072,1.68153,2.59034,1.50623,0.001406,0.001406,0.001406
17,40.3589,1.33675,1.35484,1.15158,0.63377,0.47059,0.5352,0.28812,1.60653,2.23633,1.43374,0.0013664,0.0013664,0.0013664
18,42.3058,1.29227,1.37228,1.1532,0.49466,0.57631,0.43205,0.21283,1.72256,2.55128,1.48777,0.0013268,0.0013268,0.0013268
19,44.2725,1.18338,1.28627,1.11867,0.75133,0.58824,0.59706,0.37902,1.3035,1.9936,1.34743,0.0012872,0.0012872,0.0012872
20,47.0815,1.26296,1.31798,1.12689,0.56753,0.64706,0.57233,0.31909,1.33553,1.99663,1.34043,0.0012476,0.0012476,0.0012476
21,49.6447,1.26349,1.3272,1.12725,0.48223,0.76471,0.49508,0.27136,1.38365,2.37078,1.42143,0.001208,0.001208,0.001208
22,51.6258,1.16264,1.24133,1.13064,0.42766,0.76471,0.48145,0.26756,1.25613,3.27569,1.36904,0.0011684,0.0011684,0.0011684
23,53.5988,1.19401,1.18244,1.08627,0.36993,0.70588,0.4284,0.22678,1.28538,3.71638,1.40308,0.0011288,0.0011288,0.0011288
24,55.7297,1.08785,1.16347,1.0698,0.49961,0.58824,0.42461,0.24907,1.21949,2.48409,1.41499,0.0010892,0.0010892,0.0010892
25,57.8286,1.21871,1.24891,1.11445,0.50873,0.58824,0.47801,0.2615,1.23179,2.25379,1.42361,0.0010496,0.0010496,0.0010496
26,60.2306,1.20329,1.17933,1.1254,0.55996,0.70588,0.64917,0.42118,1.32447,1.57526,1.50203,0.00101,0.00101,0.00101
27,63.3405,1.1559,1.10711,1.09395,0.82591,0.94118,0.90031,0.50925,1.33677,1.4252,1.40529,0.0009704,0.0009704,0.0009704
28,65.3416,1.16595,1.15552,1.09942,0.84057,0.93088,0.90809,0.6206,1.244,1.12279,1.38761,0.0009308,0.0009308,0.0009308
